1, 14034, 1
1, 11669, 0
1, 12067, 1
1, 14377, 0
1, 23140, 1
1, 17480, 0
2, 15322, 1
2, 24970, 0
2, 3107, 1
2, 4380, 0
2, 20, 1
2, 25960, 0
2, 3133, 1
2, 10218, 0
3, 25745, 1
3, 21866, 0
4, 8769, 1
4, 25606, 0
4, 12325, 1
4, 15125, 0
4, 4582, 1
4, 27608, 0
5, 5968, 1
5, 6519, 0
5, 27179, 1
5, 4541, 0
6, 15658, 1
6, 10863, 0
6, 23995, 1
6, 6482, 0
7, 1019, 1
7, 17229, 0
8, 18360, 1
8, 17519, 0
8, 16763, 1
8, 14349, 0
9, 5385, 1
9, 11080, 0
9, 2338, 1
9, 19240, 0
9, 9967, 1
9, 1236, 0
9, 5932, 1
9, 25599, 0
9, 11223, 1
9, 14820, 0
10, 1528, 1
10, 21590, 0
10, 24305, 1
10, 19299, 0
10, 474, 1
10, 21844, 0
10, 21123, 1
10, 10919, 0
10, 2332, 1
10, 13656, 0
11, 3105, 1
11, 13164, 0
11, 14980, 1
11, 3006, 0
11, 3169, 1
11, 5388, 0
11, 8811, 1
11, 6159, 0
11, 18279, 1
11, 3279, 0
11, 5876, 1
11, 21234, 0
11, 27, 1
11, 28046, 0
12, 7080, 1
12, 8042, 0
12, 7943, 1
12, 13808, 0
13, 28643, 1
13, 27188, 0
13, 14117, 1
13, 20917, 0
13, 54, 1
13, 5679, 0
14, 22490, 1
14, 27107, 0
14, 24301, 1
14, 3335, 0
15, 11196, 1
15, 21077, 0
16, 1312, 1
16, 20353, 0
16, 27746, 1
16, 14663, 0
17, 20609, 1
17, 21195, 0
18, 28517, 1
18, 15042, 0
18, 22492, 1
18, 6363, 0
18, 18332, 1
18, 24157, 0
18, 15280, 1
18, 16987, 0
18, 18322, 1
18, 22692, 0
18, 27224, 1
18, 12115, 0
18, 11164, 1
18, 8646, 0
18, 27901, 1
18, 19132, 0
19, 23756, 1
19, 4574, 0
19, 10381, 1
19, 13958, 0
19, 541, 1
19, 10310, 0
20, 2, 1
20, 49, 0
20, 15322, 1
20, 15667, 0
20, 3107, 1
20, 623, 0
20, 3133, 1
20, 12636, 0
21, 11292, 1
21, 24539, 0
21, 1516, 1
21, 15890, 0
21, 14109, 1
21, 11340, 0
22, 16776, 1
22, 23139, 0
22, 21181, 1
22, 23894, 0
23, 19056, 1
23, 27301, 0
24, 1514, 1
24, 11030, 0
24, 18292, 1
24, 27729, 0
24, 8790, 1
24, 14434, 0
24, 16846, 1
24, 21612, 0
25, 5860, 1
25, 28405, 0
25, 1518, 1
25, 25225, 0
26, 16835, 1
26, 7711, 0
26, 28645, 1
26, 3035, 0
26, 11081, 1
26, 22732, 0
26, 18346, 1
26, 13101, 0
26, 15325, 1
26, 348, 0
26, 5937, 1
26, 13282, 0
26, 18418, 1
26, 11904, 0
26, 8819, 1
26, 6750, 0
26, 30, 1
26, 23331, 0
26, 23286, 1
26, 25075, 0
26, 1529, 1
26, 17770, 0
